Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
1FA,F001,1FC,F001,1FA,F001,000,0001,0000,004,0100
1FC,0700,1FD,0700,1FC,0700,000,01FC,0001,000,0000
1FD,EEF5,1FE,EEF5,1F3,0001,000,FFF5,0001,000,0000,1F3,0001
1FE,A8F5,1FF,A8F5,5A1,B1D8,000,FFF5,B1D8,008,1000
1FF,0680,200,0680,1FF,0680,000,01FF,D8B1,008,1000
200,DE06,207,DE06,7FF,0201,7FF,0207,D8B1,008,1000,7FF,0201
207,1302,208,1302,207,1302,7FF,0207,D8B1,008,1000
208,2FFF,209,2FFF,208,FFFF,7FF,FFFF,D8B1,008,1000
209,F001,20A,F001,209,F001,7FF,0209,D8B1,008,1000
20A,0A00,201,0A00,7FF,0201,000,020A,D8B1,008,1000
201,CEF4,1F6,CEF4,201,01F6,000,FFF4,D8B1,008,1000
1F6,1203,1F7,1203,1F6,1203,000,01F6,D800,008,1000
